Date,Country_Code,Commodity,Price_USD,Price_Lag_1M,Volatility_3M,Hunger_Score
2024-02-01,AFG,Bread,0.8774193548387097,0.90625,0.020386344699531496,30.8
2024-03-01,AFG,Bread,0.8865625,0.8774193548387097,0.014733187367904351,30.8
2024-04-01,AFG,Bread,0.8903225806451612,0.8865625,0.006636120178121458,30.8
2024-05-01,AFG,Bread,0.885625,0.8903225806451612,0.0024861072860301826,30.8
2024-06-01,AFG,Bread,0.8919354838709677,0.885625,0.003278488661445437,30.8
2024-07-01,AFG,Bread,0.8712121212121212,0.8919354838709677,0.010622390201283255,30.8
2024-08-01,AFG,Bread,0.869375,0.8712121212121212,0.012528688457099183,30.8
2024-09-01,AFG,Bread,0.8784375,0.869375,0.004790790109268107,30.8
2024-10-01,AFG,Bread,0.9167741935483872,0.8784375,0.02516119541248128,30.8
2024-11-01,AFG,Bread,0.8896774193548387,0.9167741935483872,0.019707329562975513,30.8
2024-12-01,AFG,Bread,0.8557575757575757,0.8896774193548387,0.03057182419589674,30.8
2024-02-01,AFG,Exchange rate,1.0003030303030302,1.010909090909091,0.007499617376221047,30.8
2024-03-01,AFG,Exchange rate,1.0048484848484849,1.0003030303030302,0.005321037248915588,30.8
2024-04-01,AFG,Exchange rate,1.0069696969696968,1.0048484848484849,0.003406003090926768,30.8
2024-05-01,AFG,Exchange rate,1.0006060606060607,1.0069696969696968,0.003240205036837398,30.8
2024-06-01,AFG,Exchange rate,1.000909090909091,1.0006060606060607,0.003589768816952848,30.8
2024-07-01,AFG,Exchange rate,1.001818181818182,1.000909090909091,0.000630807878626626,30.8
2024-08-01,AFG,Exchange rate,0.9996969696969698,1.001818181818182,0.0010642074497833995,30.8
2024-09-01,AFG,Exchange rate,1.0066666666666666,0.9996969696969698,0.0035726745825914543,30.8
2024-10-01,AFG,Exchange rate,1.002727272727273,1.0066666666666666,0.003494715937779113,30.8
2024-11-01,AFG,Exchange rate,0.999090909090909,1.002727272727273,0.003788888754244749,30.8
2024-12-01,AFG,Exchange rate,0.9927272727272728,0.999090909090909,0.005061603966208841,30.8
2024-02-01,AFG,Fuel (diesel),0.8282352941176471,0.8573529411764705,0.020589285687490605,30.8
2024-03-01,AFG,Fuel (diesel),0.8532352941176471,0.8282352941176471,0.015757497620409407,30.8
2024-04-01,AFG,Fuel (diesel),0.8535294117647059,0.8532352941176471,0.014519405937879383,30.8
2024-05-01,AFG,Fuel (diesel),0.8476470588235294,0.8535294117647059,0.0033145375498775825,30.8
2024-06-01,AFG,Fuel (diesel),0.8414705882352941,0.8476470588235294,0.006030009535169284,30.8
2024-07-01,AFG,Fuel (diesel),0.8464705882352942,0.8414705882352941,0.0032795546438584384,30.8
2024-08-01,AFG,Fuel (diesel),0.8885294117647059,0.8464705882352942,0.025847235534483776,30.8
2024-09-01,AFG,Fuel (diesel),0.9197058823529412,0.8885294117647059,0.0367521547203141,30.8
2024-10-01,AFG,Fuel (diesel),0.928529411764706,0.9197058823529412,0.021015180979549013,30.8
2024-11-01,AFG,Fuel (diesel),0.8891176470588236,0.928529411764706,0.02068325412388901,30.8
2024-12-01,AFG,Fuel (diesel),0.8511764705882353,0.8891176470588236,0.03867880034733622,30.8
2024-02-01,AFG,Oil (cooking),1.271764705882353,1.3161764705882353,0.0314038599879908,30.8
2024-03-01,AFG,Oil (cooking),1.3111764705882352,1.271764705882353,0.024326569978532015,30.8
2024-04-01,AFG,Oil (cooking),1.32,1.3111764705882352,0.025683280771505952,30.8
2024-05-01,AFG,Oil (cooking),1.2738235294117648,1.32,0.024513137028266106,30.8
2024-06-01,AFG,Oil (cooking),1.2855882352941177,1.2738235294117648,0.02399598678479882,30.8
2024-07-01,AFG,Oil (cooking),1.315,1.2855882352941177,0.0212091251497881,30.8
2024-08-01,AFG,Oil (cooking),1.3082352941176472,1.315,0.015404016911968797,30.8
2024-09-01,AFG,Oil (cooking),1.349705882352941,1.3082352941176472,0.02224885466772111,30.8
2024-10-01,AFG,Oil (cooking),1.4997058823529412,1.349705882352941,0.10073132237769195,30.8
2024-11-01,AFG,Oil (cooking),1.6279411764705882,1.4997058823529412,0.1392594518337227,30.8
2024-12-01,AFG,Oil (cooking),1.6394117647058823,1.6279411764705882,0.07756029763557924,30.8
2024-02-01,AFG,Pulses,1.4529411764705882,1.4929411764705882,0.028284271247461926,30.8
2024-03-01,AFG,Pulses,1.4926470588235294,1.4529411764705882,0.023009576262272218,30.8
2024-04-01,AFG,Pulses,1.5011764705882351,1.4926470588235294,0.02574215594795632,30.8
2024-05-01,AFG,Pulses,1.4897058823529412,1.5011764705882351,0.0059578488644071335,30.8
2024-06-01,AFG,Pulses,1.5205882352941178,1.4897058823529412,0.015610417070253855,30.8
2024-07-01,AFG,Pulses,1.5094117647058825,1.5205882352941178,0.015636256037923974,30.8
2024-08-01,AFG,Pulses,1.491176470588235,1.5094117647058825,0.014846387604852141,30.8
2024-09-01,AFG,Pulses,1.5061764705882352,1.491176470588235,0.009729620406991029,30.8
2024-10-01,AFG,Pulses,1.531470588235294,1.5061764705882352,0.020365036641665793,30.8
2024-11-01,AFG,Pulses,1.465,1.531470588235294,0.03355004525082158,30.8
2024-12-01,AFG,Pulses,1.433235294117647,1.465,0.050129014636433954,30.8
2024-02-01,AFG,Rice (high quality),1.395,1.4220588235294118,0.01913347760857727,30.8
2024-03-01,AFG,Rice (high quality),1.413235294117647,1.395,0.013799520243068988,30.8
2024-04-01,AFG,Rice (high quality),1.3908823529411765,1.413235294117647,0.011896322597739385,30.8
